Sample#,File,Num_Notes,Duration(s),Note_Sequence,Duration_Sequence,Status,Comments
1,TablaPU/Jhaptaal (10).wav,19,7.88,Dhin Dhin Na Tin Dhin Kat Dhin Ta Ta Tin Ki Ta Tin Dhin Dhin Dhin Ta Ta Tin,0.55 0.21 0.58 0.20 0.60 0.20 0.77 0.40 0.39 0.59 0.20 0.59 0.20 0.59 0.21 0.77 0.39 0.21 0.21,TO_REVIEW,
2,TablaLive/Jhaptaal_1.wav,10,7.66,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na,0.81 0.79 0.68 0.76 0.75 0.76 0.79 0.77 0.77 0.79,TO_REVIEW,
3,TablaLive/Ektaal_02.wav,20,9.39,Dhin Dhin Dha Ghe Re Re Ki T Tin Ta Tin Tun Dha Ghe Re Re Ki T Dhin Dha,0.05 0.79 0.74 0.44 0.37 0.18 0.21 0.17 0.24 0.80 0.79 0.75 0.75 0.43 0.39 0.17 0.21 0.18 0.22 0.78 0.73,TO_REVIEW,
4,TablaPU/Pancham Sawari Taal (15).wav,29,11.83,Dhin Dha Dhin Dhin Kat Dhin Dhin Dha Dhin Dhin Dha Tin Kat Tin Ta T Ti Ki Ti Tun Na Kat Tun Dhin Dhin Dha Dhin Dhin Dha,0.75 0.76 0.39 0.40 0.77 0.40 0.38 0.39 0.40 0.39 0.39 0.59 0.20 0.39 0.39 0.21 0.21 0.20 0.21 0.39 0.40 0.39 0.38 0.39 0.40 0.39 0.39 0.40 0.40,TO_REVIEW,
5,TablaLive/Rupak_03.wav,7,5.45,Tin Tin Ta Dhin Na Dhin Na,0.02 0.76 0.79 0.79 0.76 0.78 0.79 0.74 0.04,TO_REVIEW,
6,TablaLive/Rupak_01.wav,7,5.39,Tin Tin Ta Dhin Dha Dhin Ta,0.04 0.82 0.77 0.74 0.75 0.74 0.80 0.74,TO_REVIEW,
7,TablaLive/Jhaptaal_8.wav,11,8.50,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na Dhin,0.01 0.79 0.76 0.76 0.77 0.76 0.77 0.76 0.79 0.80 0.78 0.77,TO_REVIEW,
8,TablaLive/Jhaptaal_2.wav,10,7.71,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na,0.76 0.78 0.74 0.83 0.76 0.76 0.56 0.20 0.58 0.19 0.78 0.58 0.20,TO_REVIEW,
9,TablaPU/Sunand Taal (9.5).wav,19,7.49,Dhin Ki Ta Tin Dhin Kat Dhin Dhin Ta Tin Tin Kat Ta Tin Dhin Dha Dhin Dhin Dha,0.54 0.21 0.59 0.20 0.59 0.21 0.58 0.21 0.59 0.21 0.58 0.20 0.60 0.20 0.39 0.40 0.39 0.38 0.41,TO_REVIEW,
10,TablaLive/Ektaal_07.wav,22,10.22,Dhin Dhin Dha Ghe Re Re Kat T Tin Ta Kat Tun T Dha Ghe Re Re Kat T Dhin Dha Dhin,0.76 0.74 0.40 0.37 0.18 0.20 0.18 0.24 0.81 0.78 0.77 0.59 0.16 0.42 0.39 0.18 0.21 0.18 0.24 0.78 0.78 0.86,TO_REVIEW,
