Sample#,File,Num_Notes,Duration(s),Note_Sequence,Duration_Sequence,Status,Comments
1,TablaLive/Ektaal_04.wav,20,9.26,Dhin Dhin Dha Ghe Re Re Kat T Tin Ta Kat Tun Dha Ghe Re Re Kat T Dhin Na,0.01 0.76 0.78 0.43 0.38 0.19 0.20 0.19 0.22 0.79 0.76 0.78 0.56 0.20 0.42 0.39 0.18 0.20 0.18 0.21 0.79 0.63,TO_REVIEW,
,Actual,,,Dhin Dhin Dha Ghe Ti Re Ki T Tun Na Kat Ta Dha Ghe Ti Re Ki T Dhin Na,,,
2,TablaLive/Rupak_03.wav,7,5.45,Tin Tin Ta Dhin Na Dhin Na,0.02 0.76 0.79 0.79 0.76 0.78 0.79 0.74 0.04,TO_REVIEW,
,Actual,,,Tin Tin Na Dhin Na Dhin Na,,,
3,TablaLive/Ektaal_06.wav,20,9.24,Dhin Dhin Dha Ghe Ti Re Kat T Tin Ta Kat Tin Dha Ghe Re Re Kat T Dhin Na,0.76 0.78 0.43 0.39 0.18 0.22 0.18 0.23 0.79 0.78 0.77 0.56 0.20 0.40 0.38 0.18 0.21 0.18 0.22 0.82 0.56,TO_REVIEW,
,Actual,,,Dhin Dhin Dha Ghe Ti Re Ki T Tun Na Kat Ta Dha Ghe Ti Re Ki T Dhin Na,,,
4,TablaPU/Rudra Taal (11).wav,18,8.6,Dha T Dha Ti Ti Kat Ti Dhin Ta Ti Ti Kat Ti Tun Ta Ta Tin Tun,0.75 0.78 0.76 0.20 0.21 0.21 0.21 0.77 0.77 0.21 0.20 0.20 0.22 0.77 0.39 0.39 0.77 0.78,TO_REVIEW,
,Actual,,,Dha T Dha Ti Re Ki T Dhin Na Ti Re Ki T Tu Na Na Kat Ta,,,
5,TablaPU/Addha Taal (16).wav,20,12.39,Dha Dhin Dhin Dha Dhin Dha Dhin Dhin Dha Dhin Dha Tin Ki Ta Tin Ta Dhin Dhin Dha T,1.12 0.76 0.40 0.39 0.39 1.15 0.77 0.39 0.39 0.40 1.14 0.77 0.39 0.40 0.38 1.15 0.77 0.40 0.39 0.40,TO_REVIEW,
,Actual,,,Dha Dhin Dha T Dha Dhin Dha T Dha Tin Ta T Ta Dhin Dha T ,,,
6,TablaPU/Tilwada (16).wav,24,12.47,Dha Re Kat Ki Ti Dhin Dhin Dha Dha Dha Tin Tin Ta Ti Ti Kat Ti Dhin Dhin Dha Dha Dha Dhin Dhin,0.74 0.21 0.20 0.21 0.21 0.77 0.77 0.78 0.38 0.39 0.78 0.78 0.76 0.21 0.20 0.22 0.20 0.77 0.78 0.77 0.39 0.39 0.78 0.77,TO_REVIEW,
,Actual,,,Dha Ti Re Ki T Dhin Dhin Dha Dha Dha Tin Tin Ta Ti Re Ki T Dhin Dhin Dha Dha Dha Dhin Dhin ,,,
7,TablaLive/Ektaal_07.wav,22,10.22,Dhin Dhin Dha Ghe Re Re Kat T Tin Ta Kat Tun T Dha Ghe Re Re Kat T Dhin Dha Dhin,0.76 0.74 0.40 0.37 0.18 0.20 0.18 0.24 0.81 0.78 0.77 0.59 0.16 0.42 0.39 0.18 0.21 0.18 0.24 0.78 0.78 0.86,TO_REVIEW,
,Actual,,,Dhin Dhin Dha Ghe Ti Re Ki T Tun Na Kat Ta Dha Ghe Ti Re Ki T Dhin Na,,,
8,TablaLive/Ektaal_03.wav,20,9.22,Dhin Dhin Dha Ghe Re Re Kat T Tin Ta T Tun Dha Ghe Dhin Re Dhin T Dhin Na,0.76 0.77 0.39 0.38 0.19 0.20 0.19 0.23 0.80 0.78 0.78 0.74 0.42 0.37 0.18 0.21 0.19 0.22 0.81 0.60,TO_REVIEW,
,Actual,,,Dhin Dhin Dha Ghe Ti Re Ki T Tun Na Kat Ta Dha Ghe Ti Re Ki T Dhin Na,,,
9,TablaLive/Rupak_10.wav,8,6.36,Tin Tin Ta Dhin Na Dhin Na Tin,0.03 0.77 0.80 0.59 0.21 0.80 0.75 0.82 0.77 0.83,TO_REVIEW,
,Actual,,,Tin Tin Na Dhin Na Dhin Na T,,,
10,TablaPU/Dakshinatya Rupak (6).wav,11,4.66,Dha Dhin Kat Dhin Dhin Dha Dhin Kat Ta Ta T,0.73 0.39 0.39 0.10 0.69 0.76 0.39 0.39 0.39 0.38 0.03,TO_REVIEW,
