File,Num_Notes,Duration(s),Original_Notes,Corrected_Notes,Corrections_Made,Correction_Details
TablaLive/Ektaal_01.wav,21,9.20,Dhin Dhin Dha Ghe Re Re Kat T Tin Ta Kat Tun T Dha Ghe Re Re T T Dhin Na,Dhin Dhin Dha Ghe Ti Re Ki T Tin Ta Kat Tun T Dha Ghe Ti Re Ki T Dhin Na,2,Pos5-8: Re Re Kat T→Ti Re Ki T; Pos16-19: Re Re T T→Ti Re Ki T
TablaLive/Ektaal_02.wav,20,9.39,Dhin Dhin Dha Ghe Re Re Ki T Tin Ta Tin Tun Dha Ghe Re Re Ki T Dhin Dha,Dhin Dhin Dha Ghe Re Re Ki T Tin Ta Tin Tun Dha Ghe Re Re Ki T Dhin Dha,0,None
TablaLive/Ektaal_03.wav,20,9.22,Dhin Dhin Dha Ghe Re Re Kat T Tin Ta T Tun Dha Ghe Dhin Re Dhin T Dhin Na,Dhin Dhin Dha Ghe Ti Re Ki T Tin Ta T Tun Dha Ghe Dhin Re Dhin T Dhin Na,1,Pos5-8: Re Re Kat T→Ti Re Ki T
TablaLive/Ektaal_04.wav,20,9.26,Dhin Dhin Dha Ghe Re Re Kat T Tin Ta Kat Tun Dha Ghe Re Re Kat T Dhin Na,Dhin Dhin Dha Ghe Re Re Kat T Tin Ta Kat Tun Dha Ghe Ti Re Ki T Dhin Na,1,Pos15-18: Re Re Kat T→Ti Re Ki T
TablaLive/Ektaal_05.wav,20,9.18,Dhin Dhin Dha Ghe Re Re Kat T Tin Ta Dhin Tun Dha Ghe Re Re Kat T Dhin Na,Dhin Dhin Dha Ghe Ti Re Ki T Tin Ta Dhin Tun Dha Ghe Re Re Kat T Dhin Na,1,Pos5-8: Re Re Kat T→Ti Re Ki T
TablaLive/Ektaal_06.wav,20,9.24,Dhin Dhin Dha Ghe Ti Re Kat T Tin Ta Kat Tin Dha Ghe Re Re Kat T Dhin Na,Dhin Dhin Dha Ghe Ti Re Ki T Tin Ta Kat Tin Dha Ghe Re Re Kat T Dhin Na,1,Pos5-8: Ti Re Kat T→Ti Re Ki T
TablaLive/Ektaal_07.wav,22,10.22,Dhin Dhin Dha Ghe Re Re Kat T Tin Ta Kat Tun T Dha Ghe Re Re Kat T Dhin Dha Dhin,Dhin Dhin Dha Ghe Ti Re Ki T Tin Ta Kat Tun T Dha Ghe Ti Re Ki T Dhin Dha Dhin,2,Pos5-8: Re Re Kat T→Ti Re Ki T; Pos16-19: Re Re Kat T→Ti Re Ki T
TablaLive/Jhaptaal_1.wav,10,7.66,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na,0,None
TablaLive/Jhaptaal_2.wav,10,7.71,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na,0,None
TablaLive/Jhaptaal_3.wav,11,7.81,Dhin Na Dhin Dhin Na Tin Ta Dhin Dhin Ghe Na,Dhin Na Dhin Dhin Na Tin Ta Dhin Dhin Ghe Na,0,None
TablaLive/Jhaptaal_4.wav,10,7.70,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na,0,None
TablaLive/Jhaptaal_5.wav,10,7.65,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na,0,None
TablaLive/Jhaptaal_6.wav,10,7.60,Dhin Na Dhin Dhin Na Tin Ta Dhin Dhin Na,Dhin Na Dhin Dhin Na Tin Ta Dhin Dhin Na,0,None
TablaLive/Jhaptaal_7.wav,10,7.76,Dhin Na Dhin Dhin Na Tin Ta Dhin Dhin Na,Dhin Na Dhin Dhin Na Tin Ta Dhin Dhin Na,0,None
TablaLive/Jhaptaal_8.wav,11,8.50,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na Dhin,Dhin Na Dhin Dhin Ta Tin Ta Dhin Dhin Na Dhin,0,None
TablaLive/Rupak_01.wav,7,5.39,Tin Tin Ta Dhin Dha Dhin Ta,Tin Tin Ta Dhin Dha Dhin Ta,0,None
